"fy","month","state","state_abb","plan","plan_abb","gov_type2","return","arr","mva","mean_arr","latest_arr","avg_return","rolling_5","rolling_10","rolling_15"
2019,12,"California","CA","Alameda County Employees' Retirement Association","Alameda County ERS","Local Plans",0.1786,0.0725,8789279000,0.076125,0.07,0.0699826184234533,0.073121262262926,0.0853703793992235,0.0662725759910716
2020,12,"California","CA","Alameda County Employees' Retirement Association","Alameda County ERS","Local Plans",0.115,0.07,9629767000,0.076125,0.07,0.0699826184234533,0.0973994587267726,0.0832327125691807,0.0684827854458914
2021,12,"California","CA","Alameda County Employees' Retirement Association","Alameda County ERS","Local Plans",0.1595,0.07,11840863000,0.076125,0.07,0.0699826184234533,0.11536041334078,0.100532502902108,0.069917188772145
2022,12,"California","CA","Alameda County Employees' Retirement Association","Alameda County ERS","Local Plans",-0.1115,0.07,10298512000,0.076125,0.07,0.0699826184234533,0.052459424522129,0.0735256645232387,0.0560203336737719
2023,12,"California","CA","Alameda County Employees' Retirement Association","Alameda County ERS","Local Plans",0.2354,0.07,10193596000,0.076125,0.07,0.0699826184234533,0.108346150560011,0.0770738929723618,0.0974624998758347
2024,12,"California","CA","Alameda County Employees' Retirement Association","Alameda County ERS","Local Plans",0.09,0.07,10109342000,0.076125,0.07,0.0699826184234533,0.0911574683023195,0.0821017880551735,0.087295990687426
2001,6,"Alaska","AK","Alaska Judicial Retirement System","Alaska Judicial Retirement System","State Plans",-0.0234,0.0825,NA,0.0789666666666667,0.0725,0.0617780158885981,NA,NA,NA
2002,6,"Alaska","AK","Alaska Judicial Retirement System","Alaska Judicial Retirement System","State Plans",-0.0302,0.0825,NA,0.0789666666666667,0.0725,0.0617780158885981,NA,NA,NA
2003,6,"Alaska","AK","Alaska Judicial Retirement System","Alaska Judicial Retirement System","State Plans",0.0331,0.0825,NA,0.0789666666666667,0.0725,0.0617780158885981,NA,NA,NA
2004,6,"Alaska","AK","Alaska Judicial Retirement System","Alaska Judicial Retirement System","State Plans",0.15,0.0825,NA,0.0789666666666667,0.0725,0.0617780158885981,NA,NA,NA
2005,6,"Alaska","AK","Alaska Judicial Retirement System","Alaska Judicial Retirement System","State Plans",0.08,0.0825,NA,0.0789666666666667,0.0725,0.0617780158885981,0.0397587203188932,NA,NA
2006,6,"Alaska","AK","Alaska Judicial Retirement System","Alaska Judicial Retirement System","State Plans",0.11,0.0825,77310716,0.0789666666666667,0.0725,0.0617780158885981,0.0667283153195866,NA,NA
2007,6,"Alaska","AK","Alaska Judicial Retirement System","Alaska Judicial Retirement System","State Plans",0.18,0.0825,86916822,0.0789666666666667,0.0725,0.0617780158885981,0.109414374587013,NA,NA
2008,6,"Alaska","AK","Alaska Judicial Retirement System","Alaska Judicial Retirement System","State Plans",-0.048,0.0825,116209622,0.0789666666666667,0.0725,0.0617780158885981,0.0914220059612212,NA,NA
2009,6,"Alaska","AK","Alaska Judicial Retirement System","Alaska Judicial Retirement System","State Plans",-0.21,0.0825,89848666,0.0789666666666667,0.0725,0.0617780158885981,0.0124615899683234,NA,NA
2010,6,"Alaska","AK","Alaska Judicial Retirement System","Alaska Judicial Retirement System","State Plans",0.11,0.08,95106339,0.0789666666666667,0.0725,0.0617780158885981,0.0180249007418305,0.0288344220758237,NA
2011,6,"Alaska","AK","Alaska Judicial Retirement System","Alaska Judicial Retirement System","State Plans",0.21,0.08,110601487,0.0789666666666667,0.0725,0.0617780158885981,0.0357403107742968,0.0511201248291513,NA
2012,6,"Alaska","AK","Alaska Judicial Retirement System","Alaska Judicial Retirement System","State Plans",0.001,0.08,107134255,0.0789666666666667,0.0725,0.0617780158885981,0.0022159110207689,0.0544537629153115,NA
2013,6,"Alaska","AK","Alaska Judicial Retirement System","Alaska Judicial Retirement System","State Plans",0.12,0.08,118704624,0.0789666666666667,0.0725,0.0617780158885981,0.0353269239689391,0.0630045099546099,NA
2014,6,"Alaska","AK","Alaska Judicial Retirement System","Alaska Judicial Retirement System","State Plans",0.18,0.08,139547440,0.0789666666666667,0.0725,0.0617780158885981,0.121833723742159,0.0657455398077307,NA
2015,6,"Alaska","AK","Alaska Judicial Retirement System","Alaska Judicial Retirement System","State Plans",0.03,0.08,144160024,0.0789666666666667,0.0725,0.0617780158885981,0.105175733529757,0.0607056219464999,0.0536768480594723
2016,6,"Alaska","AK","Alaska Judicial Retirement System","Alaska Judicial Retirement System","State Plans",-0.005,0.08,144818899,0.0789666666666667,0.0725,0.0617780158885981,0.0627690113332233,0.0491676253485736,0.054988830542853
2017,6,"Alaska","AK","Alaska Judicial Retirement System","Alaska Judicial Retirement System","State Plans",0.13,0.08,164032759,0.0789666666666667,0.0725,0.0617780158885981,0.0888492486595072,0.0446348844019941,0.0657964743010027
